,Active season,Player,Team,Conference,Date,Position,Height,Weight,Age,Draft Year,Seasons in league,Season,Season short,Real_value
0,0,Micheal Ray Richardson,New Jersey Nets,,"Apr 14, 1985",PG,77,189,29,1978,6,1984-1985,1985,1.0
1,0,Derek Smith,Los Angeles Clippers,,"Apr 7, 1985",SG,78,205,23,1982,2,1984-1985,1985,1.0
2,0,Calvin Natt,Denver Nuggets,,"Apr 1, 1985",F,78,220,28,1979,5,1984-1985,1985,1.0
3,0,Kareem Abdul-Jabbar,Los Angeles Lakers,,"Mar 24, 1985",C,86,225,37,1969,15,1984-1985,1985,1.0
4,0,Larry Bird,Boston Celtics,,"Mar 17, 1985",SF,81,220,28,1978,5,1984-1985,1985,1.0
5,0,Darrell Griffith,Utah Jazz,,"Mar 10, 1985",SG,76,190,26,1980,4,1984-1985,1985,1.0
6,0,Sleepy Floyd,Golden State Warriors,,"Mar 3, 1985",PG,75,170,24,1982,2,1984-1985,1985,1.0
7,0,Mark Aguirre,Dallas Mavericks,,"Feb 24, 1985",SF,78,232,25,1981,3,1984-1985,1985,1.0
8,0,Magic Johnson,Los Angeles Lakers,,"Feb 17, 1985",PG,81,255,25,1979,5,1984-1985,1985,1.0
9,0,Dominique Wilkins,Atlanta Hawks,,"Feb 3, 1985",SF,79,200,25,1982,2,1984-1985,1985,1.0
10,0,Tom McMillen,Washington Bullets,,"Jan 27, 1985",PF,83,215,32,1974,9,1984-1985,1985,1.0
11,0,Michael Jordan,Chicago Bulls,,"Jan 20, 1985",SG,78,215,22,1984,0,1984-1985,1985,1.0
12,0,World B. Free,Cleveland Cavaliers,,"Jan 13, 1985",G,74,185,31,1975,9,1984-1985,1985,1.0
13,0,Isiah Thomas,Detroit Pistons,,"Jan 6, 1985",PG,73,180,23,1981,3,1984-1985,1985,1.0
14,0,Micheal Ray Richardson,New Jersey Nets,,"Dec 30, 1984",PG,77,189,29,1978,6,1984-1985,1985,1.0
15,0,Terry Cummings,Milwaukee Bucks,,"Dec 23, 1984",PF,81,220,23,1982,2,1984-1985,1985,1.0
16,0,Derek Smith,Los Angeles Clippers,,"Dec 16, 1984",SG,78,205,23,1982,2,1984-1985,1985,1.0
17,0,Orlando Woolridge,Chicago Bulls,,"Dec 9, 1984",PF,81,215,25,1981,3,1984-1985,1985,1.0
18,0,Jack Sikma,Seattle SuperSonics,,"Dec 2, 1984",C,83,230,29,1977,7,1984-1985,1985,1.0
19,0,Bernard King,New York Knicks,,"Nov 25, 1984",SF,79,205,28,1977,7,1984-1985,1985,1.0
20,0,Moses Malone,Philadelphia Sixers,,"Nov 18, 1984",C,82,215,29,1976,8,1984-1985,1985,1.0
21,0,Alex English,Denver Nuggets,,"Nov 11, 1984",SF,79,190,31,1976,8,1984-1985,1985,1.0
22,0,Larry Nance,Phoenix Suns,,"Nov 4, 1984",PF,82,205,26,1981,3,1984-1985,1985,1.0
23,0,Dominique Wilkins,Atlanta Hawks,,"Apr 13, 1986",SF,79,200,26,1982,3,1985-1986,1986,1.0
24,0,Herb Williams,Indiana Pacers,,"Apr 6, 1986",C,82,242,28,1981,4,1985-1986,1986,1.0
25,0,Charles Barkley,Philadelphia Sixers,,"Mar 30, 1986",PF,78,252,23,1984,1,1985-1986,1986,1.0
26,0,Adrian Dantley,Utah Jazz,,"Mar 23, 1986",SF,77,208,30,1976,9,1985-1986,1986,1.0
27,0,Larry Bird,Boston Celtics,,"Mar 16, 1986",SF,81,220,29,1978,6,1985-1986,1986,1.0
28,0,Magic Johnson,Los Angeles Lakers,,"Mar 9, 1986",PG,81,255,26,1979,6,1985-1986,1986,1.0
29,0,Charles Barkley,Philadelphia Sixers,,"Mar 2, 1986",PF,78,252,23,1984,1,1985-1986,1986,1.0
30,0,Sidney Moncrief,Milwaukee Bucks,,"Feb 23, 1986",SG,75,180,28,1979,6,1985-1986,1986,1.0
31,0,Larry Bird,Boston Celtics,,"Feb 16, 1986",SF,81,220,29,1978,6,1985-1986,1986,1.0
32,0,Alex English,Denver Nuggets,,"Feb 2, 1986",SF,79,190,32,1976,9,1985-1986,1986,1.0
33,0,Charles Barkley,Philadelphia Sixers,,"Jan 26, 1986",PF,78,252,23,1984,1,1985-1986,1986,1.0
34,0,Larry Bird,Boston Celtics,,"Jan 19, 1986",SF,81,220,29,1978,6,1985-1986,1986,1.0
35,0,Calvin Natt,Denver Nuggets,,"Jan 12, 1986",F,78,220,29,1979,6,1985-1986,1986,1.0
36,0,Clyde Drexler,Portland Trail Blazers,,"Jan 5, 1986",SG,79,210,23,1983,2,1985-1986,1986,1.0
37,0,Dominique Wilkins,Atlanta Hawks,,"Dec 29, 1985",SF,79,200,26,1982,3,1985-1986,1986,1.0
38,0,Larry Nance,Phoenix Suns,,"Dec 22, 1985",PF,82,205,27,1981,4,1985-1986,1986,1.0
39,0,Alvin Robertson,San Antonio Spurs,,"Dec 15, 1985",SG,75,185,23,1984,1,1985-1986,1986,1.0
40,0,Jeff Ruland,Washington Bullets,,"Dec 8, 1985",C,82,240,27,1980,4,1985-1986,1986,1.0
41,0,Larry Bird,Boston Celtics,,"Dec 1, 1985",SF,81,220,29,1978,6,1985-1986,1986,1.0
42,0,Alex English,Denver Nuggets,,"Nov 24, 1985",SF,79,190,32,1976,9,1985-1986,1986,1.0
43,0,Patrick Ewing,New York Knicks,,"Nov 17, 1985",C,84,240,23,1985,0,1985-1986,1986,1.0
44,0,Buck Williams,New Jersey Nets,,"Nov 10, 1985",PF,80,215,25,1981,4,1985-1986,1986,1.0
45,0,Derek Smith,Los Angeles Clippers,,"Nov 3, 1985",SG,78,205,24,1982,3,1985-1986,1986,1.0
46,0,Julius Erving,Philadelphia Sixers,,"Apr 19, 1987",SF,78,200,37,1972,14,1986-1987,1987,1.0
